F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,class
115,101,108,101,99,116,32,42,32,102,114,111,109,32,101,109,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,norm
115,101,108,101,99,116,32,42,32,102,114,111,109,32,101,109,112,32,119,104,101,114,101,32,110,97,109,101,61,39,97,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,norm
115,101,108,101,99,116,32,42,32,102,114,111,109,32,101,109,112,32,119,104,101,114,101,32,110,97,109,101,61,39,97,39,32,97,110,100,32,100,101,112,116,61,39,101,99,111,110,111,109,121,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,norm
115,101,108,101,99,116,32,99,111,117,110,116,40,42,41,32,102,114,111,109,32,101,109,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,norm
115,101,108,101,99,116,32,99,111,117,110,116,40,42,41,32,102,114,111,109,32,101,109,112,32,119,104,101,114,101,32,100,101,112,116,61,39,109,97,116,104,115,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,norm
115,101,108,101,99,116,32,99,111,117,110,116,40,42,41,32,102,114,111,109,32,101,109,112,32,119,104,101,114,101,32,100,101,112,116,61,39,101,110,103,108,105,115,104,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,norm
115,101,108,101,99,116,32,99,111,117,110,116,40,42,41,32,102,114,111,109,32,101,109,112,32,119,104,101,114,101,32,100,101,112,116,61,39,104,105,110,100,105,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,norm
49,41,41,41,32,97,110,100,32,54,57,54,57,61,40,115,101,108,101,99,116,32,54,57,54,57,32,102,114,111,109,32,112,103,95,115,108,101,101,112,40,53,41,41,32,97,110,100,32,40,40,40,53,51,51,51,61,53,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anom
49,39,32,97,110,100,32,55,53,50,56,61,50,56,57,52,32,97,110,100,32,39,113,111,121,119,39,61,39,113,111,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anom
49,41,41,59,119,97,105,116,102,111,114,32,100,101,108,97,121,32,39,48,58,48,58,53,39,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anom
49,39,41,32,119,104,101,114,101,32,50,51,51,48,61,50,51,51,48,32,97,110,100,32,40,115,101,108,101,99,116,32,42,32,102,114,111,109,32,40,115,101,108,101,99,116,40,115,108,101,101,112,40,53,41,41,41,102,122,110,111,41,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anom
49,41,41,32,97,110,100,32,50,48,48,54,61,50,48,48,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anom
45,50,55,52,57,39,41,32,97,115,32,102,105,104,111,32,119,104,101,114,101,32,51,53,51,49,61,51,53,51,49,32,111,114,32,50,55,55,55,61,49,52,56,53,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anom
45,52,56,50,54,32,117,110,105,111,110,32,97,108,108,32,115,101,108,101,99,116,32,52,53,51,50,44,52,53,51,50,44,52,53,51,50,44,52,53,51,50,44,52,53,51,50,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anom
45,49,54,52,51,39,32,119,104,101,114,101,32,49,57,54,56,61,49,57,54,56,32,111,114,32,51,52,56,52,61,54,54,52,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anom
45,52,53,56,54,39,41,32,97,115,32,115,104,100,98,32,119,104,101,114,101,32,54,49,55,54,61,54,49,55,54,32,117,110,105,111,110,32,97,108,108,32,115,101,108,101,99,116,32,54,49,55,54,44,54,49,55,54,44,54,49,55,54,44,54,49,55,54,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anom
49,39,43,40,115,101,108,101,99,116,32,39,114,112,100,115,39,32,119,104,101,114,101,32,53,56,55,48,61,53,56,55,48,32,97,110,100,32,52,53,57,53,61,52,53,57,53,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anom
49,39,32,97,110,100,32,51,50,48,50,61,108,105,107,101,40,39,97,98,99,100,101,102,103,39,44,117,112,112,101,114,40,104,101,120,40,114,97,110,100,111,109,98,108,111,98,40,53,48,48,48,48,48,48,48,48,47,50,41,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anom
45,54,54,48,48,39,41,32,117,110,105,111,110,32,97,108,108,32,115,101,108,101,99,116,32,53,53,54,54,44,53,53,54,54,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anom
45,53,49,52,53,39,32,119,104,101,114,101,32,50,51,51,52,61,50,51,51,52,32,117,110,105,111,110,32,97,108,108,32,115,101,108,101,99,116,32,50,51,51,52,44,50,51,51,52,44,50,51,51,52,44,50,51,51,52,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anom
49,39,41,32,117,110,105,111,110,32,97,108,108,32,115,101,108,101,99,116,32,110,117,108,108,44,110,117,108,108,44,110,117,108,108,44,110,117,108,108,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anom
49,39,41,32,119,97,105,116,102,111,114,32,100,101,108,97,121,32,39,48,58,48,58,53,39,32,97,110,100,32,40,39,102,112,110,104,39,61,39,102,112,110,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anom
49,37,39,32,117,110,105,111,110,32,97,108,108,32,115,101,108,101,99,116,32,110,117,108,108,44,110,117,108,108,44,110,117,108,108,44,110,117,108,108,44,110,117,108,108,44,110,117,108,108,44,110,117,108,108,44,110,117,108,108,44,110,117,108,108,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anom
49,37,39,41,32,97,110,100,32,54,57,54,57,61,40,115,101,108,101,99,116,32,54,57,54,57,32,102,114,111,109,32,112,103,95,115,108,101,101,112,40,53,41,41,32,97,110,100,32,40,39,37,39,61,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anom
49,39,41,32,97,115,32,101,108,110,117,32,119,104,101,114,101,32,53,55,49,57,61,53,55,49,57,32,111,114,32,56,49,53,54,61,40,115,101,108,101,99,116,32,99,111,117,110,116,40,42,41,32,102,114,111,109,32,103,101,110,101,114,97,116,101,95,115,101,114,105,101,115,40,49,44,53,48,48,48,48,48,48,41,41,45,45,anom
49,41,32,119,104,101,114,101,32,49,52,48,50,61,49,52,48,50,59,115,101,108,101,99,116,32,115,108,101,101,112,40,53,41,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anom
49,39,41,32,97,115,32,101,108,110,117,32,119,104,101,114,101,32,53,55,49,57,61,53,55,49,57,32,111,114,32,56,49,53,54,61,40,115,101,108,101,99,116,32,99,111,117,110,116,40,42,41,32,102,114,111,109,32,103,101,110,101,114,97,116,101,95,115,101,114,105,101,115,40,49,44,53,48,48,48,48,48,48,41,41,45,45,anom
49,41,32,119,104,101,114,101,32,49,52,48,50,61,49,52,48,50,59,115,101,108,101,99,116,32,115,108,101,101,112,40,53,41,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anom
